HealthyCells,InfectedCells,NumOfViruses
994,6,97
988,6,100
982,6,103
976,6,106
970,6,109
964,6,112
959,5,115
954,5,117
949,5,119
944,5,121
939,5,123
934,5,125
930,4,127
927,3,128
924,3,128
922,2,128
920,2,127
918,2,126
916,2,126
914,2,126
912,2,126
910,2,126
908,2,127
906,2,128
904,2,129
902,2,130
900,2,131
898,2,133
896,2,135
894,2,137
892,2,139
890,2,141
888,2,143
886,2,145
884,2,147
882,2,149
880,2,151
878,2,153
876,2,155
874,2,157
872,2,159
870,2,161
868,2,163
866,2,165
864,2,167
862,2,169
860,2,171
858,2,173
856,2,175
854,2,177
852,2,179
850,2,181
848,2,183
846,2,185
844,2,187
842,2,189
840,2,191
838,2,193
836,2,195
834,2,197
832,2,199
830,2,201
828,2,203
826,2,205
824,2,207
822,2,209
820,2,211
818,2,213
816,2,215
814,2,217
812,2,219
810,2,221
808,2,223
806,2,225
804,2,227
802,2,229
800,2,231
798,2,233
796,2,235
794,2,237
792,2,239
790,2,241
788,2,243
786,2,245
784,2,247
782,2,249
780,2,251
778,2,253
776,2,255
774,2,257
772,2,259
770,2,261
768,2,263
766,2,265
764,2,267
762,2,269
760,2,271
758,2,273
756,2,275
754,2,277
752,2,279
750,2,281
748,2,283
746,2,285
744,2,287
742,2,289
740,2,291
738,2,293
736,2,295
734,2,297
732,2,299
730,2,301
728,2,303
726,2,305
724,2,307
722,2,309
720,2,311
718,2,313
716,2,315
714,2,317
712,2,319
710,2,321
708,2,323
706,2,325
704,2,327
702,2,329
700,2,331
698,2,333
696,2,335
694,2,337
692,2,339
690,2,341
688,2,343
686,2,345
684,2,347
682,2,349
680,2,351
678,2,353
676,2,355
674,2,357
672,2,359
670,2,361
668,2,363
666,2,365
664,2,367
662,2,369
660,2,371
658,2,373
656,2,375
654,2,377
