HealthyCells,InfectedCells,NumOfViruses
997,3,99
994,3,102
991,3,105
988,3,108
985,3,111
982,3,114
979,3,117
976,3,120
973,3,123
970,3,126
967,3,129
964,3,132
961,3,135
958,3,138
955,3,141
952,3,144
949,3,147
946,3,150
943,3,153
940,3,156
937,3,159
934,3,162
931,3,165
928,3,168
925,3,171
922,3,174
919,3,177
916,3,180
913,3,183
910,3,186
907,3,189
904,3,192
901,3,195
898,3,198
895,3,201
892,3,204
889,3,207
886,3,210
883,3,213
880,3,216
877,3,219
874,3,222
871,3,225
868,3,228
865,3,231
862,3,234
859,3,237
856,3,240
853,3,243
850,3,246
847,3,249
844,3,252
841,3,255
838,3,258
835,3,261
832,3,264
829,3,267
826,3,270
823,3,273
820,3,276
817,3,279
814,3,282
811,3,285
808,3,288
805,3,291
802,3,294
799,3,297
796,3,300
793,3,303
790,3,306
787,3,309
784,3,312
781,3,315
778,3,318
775,3,321
772,3,324
769,3,327
766,3,330
763,3,333
760,3,336
757,3,339
754,3,342
751,3,345
748,3,348
745,3,351
742,3,354
739,3,357
736,3,360
733,3,363
730,3,366
727,3,369
724,3,372
721,3,375
718,3,378
715,3,381
712,3,384
709,3,387
706,3,390
703,3,393
700,3,396
697,3,399
694,3,402
691,3,405
688,3,408
685,3,411
682,3,414
679,3,417
676,3,420
673,3,423
670,3,426
667,3,429
664,3,432
661,3,435
658,3,438
655,3,441
652,3,444
649,3,447
646,3,450
643,3,453
640,3,456
637,3,459
634,3,462
631,3,465
628,3,468
625,3,471
622,3,474
619,3,477
616,3,480
613,3,483
610,3,486
607,3,489
604,3,492
601,3,495
598,3,498
595,3,501
592,3,504
589,3,507
586,3,510
583,3,513
580,3,516
577,3,519
574,3,522
571,3,525
568,3,528
565,3,531
562,3,534
559,3,537
556,3,540
553,3,543
550,3,546
540,10,547
530,10,555
520,10,563
510,10,571
500,10,579
490,10,587
480,10,596
470,10,605
460,10,614
451,9,623
442,9,631
433,9,639
424,9,647
415,9,655
406,9,663
397,9,671
389,8,679
381,8,686
373,8,693
365,8,700
357,8,707
349,8,714
341,8,721
333,8,728
325,8,735
318,7,742
311,7,748
305,6,754
299,6,759
293,6,764
288,5,769
283,5,773
278,5,777
273,5,781
268,5,785
263,5,789
258,5,793
253,5,797
249,4,801
245,4,804
241,4,807
237,4,810
233,4,813
229,4,816
225,4,819
221,4,822
217,4,825
213,4,828
209,4,831
205,4,834
201,4,837
197,4,840
193,4,843
189,4,846
185,4,849
182,3,852
179,3,854
176,3,856
173,3,858
170,3,860
167,3,862
164,3,864
161,3,866
158,3,868
155,3,870
152,3,872
149,3,874
146,3,876
144,2,878
142,2,879
140,2,880
138,2,881
136,2,882
134,2,883
132,2,885
130,2,887
128,2,889
126,2,891
124,2,893
122,2,895
120,2,897
118,2,899
116,2,901
114,2,903
112,2,905
110,2,907
108,2,909
106,2,911
104,2,913
102,2,915
100,2,917
99,1,918
98,1,918
97,1,918
96,1,918
95,1,918
95,0,918
95,0,917
95,0,916
95,0,915
95,0,914
95,0,914
95,0,914
95,0,914
95,0,914
95,0,914
95,0,914
95,0,914
95,0,914
95,0,914
95,0,914
95,0,914
95,0,914
95,0,914
95,0,914
95,0,914
95,0,914
95,0,914
95,0,914
95,0,914
95,0,914
95,0,914
95,0,914
95,0,914
95,0,914
95,0,914
95,0,914
95,0,914
95,0,914
95,0,914
95,0,914
95,0,914
95,0,914
95,0,914
95,0,914
95,0,914
95,0,914
95,0,914
95,0,914
95,0,914
95,0,914
95,0,914
95,0,914
95,0,914
95,0,914
95,0,914
95,0,914
95,0,914
95,0,914
95,0,914
