HealthyCells,InfectedCells,NumOfViruses
992,8,97
984,8,102
976,8,107
968,8,112
962,6,117
956,6,120
950,6,123
944,6,126
938,6,129
933,5,132
929,4,134
926,3,135
924,2,135
922,2,134
920,2,133
918,2,132
916,2,131
914,2,131
912,2,131
910,2,131
909,1,131
908,1,130
907,1,129
906,1,128
905,1,127
905,0,126
905,0,124
905,0,122
905,0,120
905,0,118
905,0,116
905,0,114
905,0,112
905,0,111
905,0,110
905,0,109
905,0,109
905,0,109
905,0,109
905,0,109
905,0,109
905,0,109
905,0,109
905,0,109
905,0,109
905,0,109
905,0,109
905,0,109
905,0,109
905,0,109
905,0,109
904,1,109
903,1,110
902,1,111
901,1,112
900,1,113
899,1,114
898,1,115
897,1,116
896,1,117
895,1,118
894,1,119
893,1,120
892,1,121
891,1,122
890,1,123
889,1,124
888,1,125
887,1,126
886,1,127
885,1,128
884,1,129
883,1,130
882,1,131
881,1,132
880,1,133
879,1,134
878,1,135
877,1,136
876,1,137
875,1,138
874,1,139
873,1,140
872,1,141
871,1,142
870,1,143
869,1,144
868,1,145
867,1,146
866,1,147
865,1,148
864,1,149
863,1,150
862,1,151
861,1,152
860,1,153
859,1,154
858,1,155
857,1,156
856,1,157
855,1,158
854,1,159
853,1,160
852,1,161
851,1,162
850,1,163
849,1,164
848,1,165
847,1,166
846,1,167
845,1,168
844,1,169
843,1,170
842,1,171
841,1,172
840,1,173
839,1,174
838,1,175
837,1,176
836,1,177
835,1,178
834,1,179
833,1,180
832,1,181
831,1,182
830,1,183
829,1,184
828,1,185
827,1,186
826,1,187
825,1,188
824,1,189
823,1,190
822,1,191
821,1,192
820,1,193
819,1,194
818,1,195
817,1,196
816,1,197
815,1,198
814,1,199
813,1,200
812,1,201
811,1,202
810,1,203
809,1,204
808,1,205
807,1,206
806,1,207
